"filename", "language", "JavaScript", "JSON", "Properties", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Project\reif\app\back\controller\auth.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 17, 150
"d:\Project\reif\app\back\controller\setup.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 0, 14, 223
"d:\Project\reif\app\back\dbcon\dbcon.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Project\reif\app\back\helper\helper.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 8, 13, 104
"d:\Project\reif\app\back\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\Project\reif\app\back\middleware.js\middleware.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\Project\reif\app\back\package-lock.json", "JSON", 0, 1685, 0, 0, 0, 0, 0, 0, 1, 1686
"d:\Project\reif\app\back\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Project\reif\app\back\router\api.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"d:\Project\reif\app\back\router\auth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project\reif\app\front\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Project\reif\app\front\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"d:\Project\reif\app\front\package-lock.json", "JSON", 0, 19296, 0, 0, 0, 0, 0, 0, 1, 19297
"d:\Project\reif\app\front\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"d:\Project\reif\app\front\public\img\5202673_Statistics.svg", "XML", 0, 0, 0, 0, 0, 0, 1045, 1, 224, 1270
"d:\Project\reif\app\front\public\img\hero-img-1.svg", "XML", 0, 0, 0, 0, 0, 0, 659, 0, 0, 659
"d:\Project\reif\app\front\public\img\hero-img.svg", "XML", 0, 0, 0, 0, 0, 0, 627, 1, 2, 630
"d:\Project\reif\app\front\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"d:\Project\reif\app\front\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Project\reif\app\front\src\App.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Project\reif\app\front\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Project\reif\app\front\src\ComponentUtils\AlertMessage.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Project\reif\app\front\src\ComponentUtils\YDivider.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Project\reif\app\front\src\Dashboard\Dashboard.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Project\reif\app\front\src\Header\Header.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 9, 139
"d:\Project\reif\app\front\src\Layout\Layout.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Project\reif\app\front\src\Login\Login.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 1, 10, 136
"d:\Project\reif\app\front\src\Login\Signup.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 20, 219
"d:\Project\reif\app\front\src\Setup\CategoryTree.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 12, 122
"d:\Project\reif\app\front\src\Setup\Components\AddButton.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Project\reif\app\front\src\Setup\Components\AddCategoryModal.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 5, 74
"d:\Project\reif\app\front\src\Setup\Components\AddExpenseModal.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 5, 66
"d:\Project\reif\app\front\src\Setup\Components\ConfirmModal.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"d:\Project\reif\app\front\src\Setup\Components\RenderTree.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 6, 116
"d:\Project\reif\app\front\src\Setup\ExpenseTree.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 6, 11, 135
"d:\Project\reif\app\front\src\Setup\Setup.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Project\reif\app\front\src\SideMenu\SideMenu.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 2, 69
"d:\Project\reif\app\front\src\constants\theme.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
